chunk,rows_processed,n_blacklisted,max_block,processed_after,ram_usage_gb
314000,3140000000,82502724,14201715,0 days 03:46:15.237108,11.54
315000,3150000000,82694145,14215869,0 days 03:46:54.113039,11.56
316000,3160000000,82866938,14229547,0 days 03:47:32.450358,11.57
317000,3170000000,83036891,14243311,0 days 03:48:10.685473,11.59
318000,3180000000,83206284,14257290,0 days 03:48:49.840186,11.61
319000,3190000000,83382973,14270770,0 days 03:49:29.712509,11.62
320000,3200000000,83561607,14284734,0 days 03:50:09.297999,11.64
321000,3210000000,83737142,14298755,0 days 03:50:48.230114,11.66
322000,3220000000,83930439,14312410,0 days 03:51:27.668968,11.68
323000,3230000000,84099709,14325488,0 days 03:52:06.375537,11.69
324000,3240000000,84263164,14338644,0 days 03:52:45.032231,11.71
325000,3250000000,84444931,14351967,0 days 03:53:24.771379,11.73
326000,3260000000,84615777,14365173,0 days 03:54:05.153924,11.75
327000,3270000000,84783536,14378616,0 days 03:54:46.435038,11.76
328000,3280000000,84956022,14392020,0 days 03:55:25.425020,11.78
329000,3290000000,85133153,14404914,0 days 03:56:03.419402,11.8
330000,3300000000,85318080,14417695,0 days 03:56:42.076190,11.82
331000,3310000000,85480365,14430580,0 days 03:57:20.665269,11.83
332000,3320000000,85653993,14443693,0 days 03:57:59.800206,11.85
333000,3330000000,85836162,14456961,0 days 03:58:38.003356,11.87
334000,3340000000,86001875,14470098,0 days 03:59:16.604135,11.88
335000,3350000000,86192210,14482447,0 days 03:59:54.077307,11.9
336000,3360000000,86383521,14495270,0 days 04:00:31.350863,11.92
337000,3370000000,86570160,14507992,0 days 04:01:08.409188,11.94
338000,3380000000,86720597,14519952,0 days 04:01:46.918931,11.96
339000,3390000000,86878899,14532095,0 days 04:02:25.018161,11.97
340000,3400000000,87041002,14545230,0 days 04:03:03.231821,11.98
341000,3410000000,87197486,14558074,0 days 04:03:42.061728,12.0
342000,3420000000,87361952,14570764,0 days 04:04:19.451053,12.02
343000,3430000000,87507959,14583617,0 days 04:04:56.366799,12.03
344000,3440000000,87661397,14597069,0 days 04:05:35.770558,12.05
345000,3450000000,87798500,14609577,0 days 04:06:13.807971,12.06
346000,3460000000,87968855,14623049,0 days 04:06:53.708993,12.08
347000,3470000000,88148637,14636701,0 days 04:07:32.777676,12.09
348000,3480000000,88303104,14649797,0 days 04:08:11.977824,12.11
349000,3490000000,88487746,14662957,0 days 04:08:50.515221,12.13
350000,3500000000,88669588,14675713,0 days 04:09:29.328957,12.15
351000,3510000000,88833634,14687925,0 days 04:10:06.756922,12.16
352000,3520000000,88981288,14701281,0 days 04:10:43.931334,12.18
353000,3530000000,89138542,14713996,0 days 04:11:23.255122,12.19
354000,3540000000,89318379,14727073,0 days 04:12:01.574003,12.21
355000,3550000000,89484499,14739626,0 days 04:12:46.778745,14.92
356000,3560000000,89680190,14751656,0 days 04:13:22.376848,14.93
357000,3570000000,89846019,14762865,0 days 04:13:56.159770,14.95
358000,3580000000,90018793,14774806,0 days 04:14:32.325799,14.97
359000,3590000000,90172481,14786683,0 days 04:15:09.040337,14.98
360000,3600000000,90369754,14800324,0 days 04:15:46.824501,15.0
